OrderID,Date,Region,SalesPerson,Product,Units,UnitCost,TotalSales
1109,2023-05-04,West,Rajesh,Phone,1,5000,5000
1110,2023-03-09,South,Amit,Phone,10,5000,50000
1111,2023-04-17,East,John,Camera,10,25000,250000
1112,2023-03-27,East,Amit,Laptop,20,40000,800000
1113,2023-03-09,East,Amit,Laptop,15,40000,600000
1114,2023-03-05,South,Rajesh,Camera,4,25000,100000
1115,2023-03-15,North,John,Monitor,11,15000,165000
1116,2023-04-09,East,Rajesh,Tablet,6,20000,120000
1117,2023-05-04,North,Rajesh,Phone,4,5000,20000
1118,2023-04-14,West,Meera,Tablet,8,20000,160000
1119,2023-06-30,West,Amit,Phone,13,5000,65000
1120,2023-01-10,South,Meera,Laptop,10,40000,400000
1121,2023-06-30,East,Rajesh,Tablet,10,20000,200000
1122,2023-02-24,South,John,Laptop,12,40000,480000
1123,2023-01-04,East,Anjali,Phone,17,5000,85000
1124,2023-03-22,South,Anjali,Laptop,2,40000,80000
1125,2023-01-08,South,Anjali,Camera,2,25000,50000
1126,2023-02-02,East,John,Laptop,6,40000,240000
1127,2023-03-18,North,Rajesh,Camera,20,25000,500000
1128,2023-04-05,South,Amit,Phone,2,5000,10000
1129,2023-06-30,North,Rajesh,Camera,6,25000,150000
1130,2023-05-15,West,Rajesh,Camera,20,25000,500000
1131,2023-05-02,South,Rajesh,Tablet,11,20000,220000
1132,2023-03-23,North,Meera,Camera,14,25000,350000
1133,2023-01-20,North,John,Phone,18,5000,90000
1134,2023-02-28,South,Amit,Monitor,15,15000,225000
1135,2023-01-03,North,Anjali,Camera,5,25000,125000
1136,2023-06-25,South,Amit,Tablet,10,20000,200000
1137,2023-01-02,North,Anjali,Phone,11,5000,55000
1138,2023-03-08,North,Meera,Tablet,20,20000,400000
1139,2023-01-25,West,John,Phone,12,5000,60000
1140,2023-01-07,West,John,Phone,5,5000,25000
1141,2023-04-04,South,John,Monitor,4,15000,60000
1142,2023-05-30,East,Amit,Monitor,1,15000,15000
1143,2023-01-13,East,Amit,Phone,9,5000,45000
1144,2023-01-09,East,Meera,Tablet,13,20000,260000
1145,2023-05-15,West,Rajesh,Tablet,4,20000,80000
1146,2023-02-22,North,John,Phone,11,5000,55000
1147,2023-01-17,South,Anjali,Monitor,19,15000,285000
1148,2023-03-28,North,John,Laptop,10,40000,400000
1149,2023-04-03,East,Meera,Camera,10,25000,250000
1150,2023-01-23,East,Rajesh,Monitor,16,15000,240000
1151,2023-01-27,North,Amit,Tablet,17,20000,340000
1152,2023-04-03,North,Amit,Monitor,18,15000,270000
1153,2023-04-16,West,Meera,Camera,20,25000,500000
1154,2023-01-06,East,Amit,Tablet,7,20000,140000
1155,2023-03-20,East,Amit,Monitor,19,15000,285000
1156,2023-04-11,East,Rajesh,Camera,2,25000,50000
1157,2023-01-23,North,John,Laptop,16,40000,640000
1158,2023-01-01,East,Amit,Camera,11,25000,275000
1159,2023-03-18,South,Anjali,Monitor,3,15000,45000
1160,2023-03-26,East,Amit,Tablet,3,20000,60000
1161,2023-05-18,North,Anjali,Camera,13,25000,325000
1162,2023-01-19,South,Rajesh,Monitor,16,15000,240000
1163,2023-03-27,South,Amit,Monitor,9,15000,135000
1164,2023-06-26,West,Anjali,Laptop,6,40000,240000
1165,2023-04-07,North,Meera,Phone,3,5000,15000
1166,2023-02-24,South,Anjali,Laptop,11,40000,440000
1167,2023-06-21,East,Amit,Phone,11,5000,55000
1168,2023-06-12,West,Meera,Laptop,14,40000,560000
1169,2023-02-01,South,Rajesh,Laptop,7,40000,280000
1170,2023-06-28,West,Amit,Laptop,6,40000,240000
1171,2023-04-17,South,John,Monitor,13,15000,195000
1172,2023-05-28,West,John,Laptop,20,40000,800000
1173,2023-06-27,South,Anjali,Monitor,6,15000,90000
1174,2023-02-14,West,Amit,Phone,12,5000,60000
1175,2023-04-27,East,Anjali,Tablet,20,20000,400000
1176,2023-02-13,East,John,Camera,20,25000,500000
1177,2023-04-17,East,Rajesh,Monitor,17,15000,255000
1178,2023-04-15,South,Amit,Phone,12,5000,60000
1179,2023-02-24,North,Meera,Phone,6,5000,30000
1180,2023-01-28,East,Rajesh,Monitor,8,15000,120000
1181,2023-03-25,East,Meera,Tablet,8,20000,160000
1182,2023-06-04,West,Anjali,Monitor,6,15000,90000
1183,2023-03-21,South,Amit,Phone,2,5000,10000
1184,2023-06-19,East,John,Monitor,2,15000,30000
1185,2023-02-16,South,Rajesh,Phone,6,5000,30000
1186,2023-01-20,East,Amit,Phone,3,5000,15000
1187,2023-05-22,West,Anjali,Tablet,3,20000,60000
1188,2023-06-11,North,Amit,Monitor,8,15000,120000
1189,2023-01-13,South,Meera,Tablet,19,20000,380000
1190,2023-04-24,East,John,Camera,12,25000,300000
1191,2023-04-15,North,Anjali,Phone,5,5000,25000
1192,2023-04-03,East,Meera,Monitor,12,15000,180000
1193,2023-05-01,East,Anjali,Laptop,5,40000,200000
1194,2023-03-01,North,Rajesh,Tablet,1,20000,20000
1195,2023-02-10,West,John,Camera,14,25000,350000
1196,2023-05-17,South,Rajesh,Tablet,1,20000,20000
1197,2023-04-30,South,Meera,Laptop,11,40000,440000
1198,2023-06-26,North,Rajesh,Camera,8,25000,200000
1199,2023-04-30,East,Anjali,Camera,20,25000,500000
1200,2023-03-10,West,Amit,Monitor,19,15000,285000
